#Zeit; y_1
13,23;4,31546952
13,24;4,315464248
13,25;4,315458997
13,26;4,315453767
13,27;4,315448558
13,28;4,315443371
13,29;4,315438206
13,3;4,315433062
13,31;4,315427942
13,32;4,315422844
13,33;4,315417769
13,34;4,315412717
13,35;4,315407689
13,36;4,315402685
13,37;4,315397704
13,38;4,315392748
13,39;4,315387816
13,4;4,315382909
13,41;4,315378027
13,42;4,315373169
13,43;4,315368337
13,44;4,31536353
13,45;4,315358749
13,46;4,315353994
13,47;4,315349265
13,48;4,315344562
13,49;4,315339885
13,5;4,315335235
13,51;4,315330611
13,52;4,315326014
13,53;4,315321444
13,54;4,315316902
13,55;4,315312386
13,56;4,315307898
13,57;4,315303437
13,58;4,315299004
13,59;4,315294598
13,6;4,315290221
13,61;4,315285871
13,62;4,315281549
13,63;4,315277256
13,64;4,31527299
13,65;4,315268753
13,66;4,315264545
13,67;4,315260364
13,68;4,315256213
13,69;4,31525209
13,7;4,315247995
13,71;4,31524393
13,72;4,315239893
13,73;4,315235885
13,74;4,315231906
13,75;4,315227956
13,76;4,315224035
13,77;4,315220143
13,78;4,31521628
13,79;4,315212446
13,8;4,315208641
13,81;4,315204866
13,82;4,315201119
13,83;4,315197402
13,84;4,315193714
13,85;4,315190055
13,86;4,315186425
13,87;4,315182825
13,88;4,315179254
13,89;4,315175712
13,9;4,315172199
13,91;4,315168716
13,92;4,315165261
13,93;4,315161836
13,94;4,31515844
13,95;4,315155073
13,96;4,315151735
13,97;4,315148427
13,98;4,315145147
13,99;4,315141896
14;4,315138674
14,01;4,315135482
14,02;4,315132318
14,03;4,315129183
14,04;4,315126076
14,05;4,315122999
14,06;4,31511995
14,07;4,31511693
14,08;4,315113938
14,09;4,315110975
14,1;4,31510804
14,11;4,315105134
14,12;4,315102256
14,13;4,315099406
14,14;4,315096584
14,15;4,315093791
14,16;4,315091025
14,17;4,315088288
14,18;4,315085578
14,19;4,315082896
14,2;4,315080242
14,21;4,315077616
14,22;4,315075017
14,23;4,315072445
14,24;4,315069901
14,25;4,315067384
14,26;4,315064894
14,27;4,315062431
14,28;4,315059995
14,29;4,315057586
14,3;4,315055204
14,31;4,315052849
14,32;4,31505052
14,33;4,315048217
14,34;4,315045941
14,35;4,315043691
14,36;4,315041467
14,37;4,315039269
14,38;4,315037097
14,39;4,315034951
14,4;4,31503283
14,41;4,315030735
14,42;4,315028665
14,43;4,315026621
14,44;4,315024602
14,45;4,315022607
14,46;4,315020638
14,47;4,315018694
14,48;4,315016774
14,49;4,315014879
14,5;4,315013008
14,51;4,315011161
14,52;4,315009339
14,53;4,315007541
14,54;4,315005766
14,55;4,315004015
14,56;4,315002288
14,57;4,315000585
14,58;4,314998905
14,59;4,314997248
14,6;4,314995614
14,61;4,314994003
14,62;4,314992415
14,63;4,314990849
14,64;4,314989306
14,65;4,314987786
14,66;4,314986287
14,67;4,314984811
14,68;4,314983357
14,69;4,314981924
14,7;4,314980514
14,71;4,314979125
14,72;4,314977757
14,73;4,31497641
14,74;4,314975085
14,75;4,314973781
14,76;4,314972497
14,77;4,314971234
14,78;4,314969992
14,79;4,31496877
14,8;4,314967568
14,81;4,314966386
14,82;4,314965224
14,83;4,314964083
14,84;4,31496296
14,85;4,314961857
14,86;4,314960774
14,87;4,31495971
14,88;4,314958665
14,89;4,314957639
14,9;4,314956631
14,91;4,314955642
14,92;4,314954672
14,93;4,31495372
14,94;4,314952786
14,95;4,31495187
14,96;4,314950972
14,97;4,314950092
14,98;4,314949229
14,99;4,314948384
15;4,314947556
15,01;4,314946745
15,02;4,314945952
15,03;4,314945175
15,04;4,314944414
15,05;4,314943671
15,06;4,314942944
15,07;4,314942233
15,08;4,314941538
15,09;4,314940859
15,1;4,314940196
15,11;4,314939548
15,12;4,314938916
